City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
Esqueda,100,MX,1575855919,78,57.65,30.72,-109.59,4.09
Kadipur,0,IN,1575855919,53,66.54,26.16,82.38,0.76
Cabedelo,20,BR,1575855919,83,78.8,-6.97,-34.84,6.93
Tarpon Springs,90,US,1575855919,78,72,28.15,-82.76,3.36
Coracao de Jesus,96,BR,1575855919,69,75.2,-16.69,-44.37,5.82
Constantine,75,DZ,1575855919,93,48.2,36.36,6.61,4.7
Katihar,0,IN,1575855919,37,68.61,25.54,87.57,0.96
Necochea,0,AR,1575855621,90,55.99,-38.55,-58.74,5.01
Smithers,75,CA,1575855607,92,14,54.78,-127.17,0.96
Port Hardy,75,CA,1575855612,93,37.4,50.7,-127.42,3.36
Honiara,75,SB,1575855729,74,87.8,-9.43,159.96,5.82
Hohhot,0,CN,1575855919,78,12.2,40.81,111.65,4.47
Bukoba,100,TZ,1575855919,68,72.88,-1.33,31.81,0.27
Emerald,0,AU,1575855919,33,91.4,-23.53,148.16,14.99
Carbondale,40,US,1575855919,81,50,38.82,-95.69,5.23
Chuy,100,UY,1575855609,65,67.33,-33.69,-53.46,3.67
Flinders,33,AU,1575855619,42,82.99,-34.58,150.85,10.29
Jatai,61,IN,1575855919,45,61.81,28.97,76.18,1.9
Sibu,75,MY,1575855612,83,78.8,2.29,111.83,3.36
Pisco,40,PE,1575855626,83,69.8,-13.71,-76.2,9.17
La Plata,0,AR,1575855919,46,78.8,-34.92,-57.95,12.75
Olinda,75,AU,1575855920,16,98.01,-37.84,145.39,19.46
Sept-Iles,90,CA,1575855920,86,28,50.2,-66.38,21.92
West Helena,100,US,1575855920,100,53.01,34.55,-90.64,9.17
Poum,0,MK,1575855606,87,34.81,41.28,20.71,1.32
Praia,75,BR,1575855609,77,68,-20.25,-43.81,6.93
Sistranda,75,NO,1575855633,86,34,63.73,8.83,4.7
Qaqortoq,100,GL,1575855920,27,35.6,60.72,-46.03,21.92
Tongchuan,0,CN,1575855920,80,33.8,34.9,108.95,2.24
Muscatine,90,US,1575855920,93,46.99,41.42,-91.04,5.82
Young,97,UY,1575855920,73,73,-32.7,-57.63,7.29
Saint-Philippe,90,CA,1575855610,82,35.6,45.36,-73.48,19.46
Zhaotong,10,CN,1575855920,68,41.59,27.34,103.71,3.24
Kalmunai,100,LK,1575855629,79,80.76,7.42,81.82,15.08
Peniche,90,PT,1575855920,93,57.2,39.36,-9.38,8.05
Buala,100,SB,1575855920,85,79.59,-8.15,159.59,11.72
Hit,0,IQ,1575855920,59,52.86,33.64,42.83,6.33
Rabaul,78,PG,1575855920,68,84.02,-4.2,152.17,1.59
Limoges,100,FR,1575855920,93,46,45.84,1.26,14.99
Birecik,90,TR,1575855921,93,46.4,37.03,37.98,3.36
Djibo,43,BF,1575855921,13,69.04,14.1,-1.63,7.7
Wichita,90,US,1575855664,81,48.2,37.69,-97.34,1.88
Kailua,20,US,1575855709,61,82.4,21.39,-157.74,6.93
Itambe,50,BR,1575855921,99,66.09,-15.24,-40.62,2.3
Amga,1,RU,1575855921,94,-30.44,60.89,131.98,1.63
Fukue,20,JP,1575855630,61,55,35.03,136.69,8.05
Visby,95,SE,1575855921,87,45,57.64,18.3,19.46
Monrovia,40,LR,1575855736,94,77,6.33,-10.8,4.21
Solvychegodsk,100,RU,1575855921,89,31.64,61.33,46.92,12.26
Teeli,21,RU,1575855921,66,12.34,51.01,90.2,2.91
La Ronge,90,CA,1575855921,76,-4,55.1,-105.3,6.93
Kununurra,0,AU,1575855613,44,96.8,-15.77,128.74,8.05
Bayan,0,CN,1575855921,27,24.49,36.1,102.26,5.68
Bilma,0,NE,1575855921,24,62.13,18.69,12.92,5.93
Wamba,13,CD,1575855922,98,64.87,2.14,27.99,1.86
Linxia,0,CN,1575855922,40,29.08,35.6,103.21,3.76
Luba,0,PH,1575855922,57,81.55,17.32,120.7,8.03
Xinyang,97,CN,1575855922,50,55.8,32.13,114.07,9.71
Maragogi,0,BR,1575855608,78,79.92,-9.01,-35.22,16.15
Kindu,100,CD,1575855922,99,68.32,-2.95,25.92,2.39
Senanga,100,ZM,1575855922,95,66.02,-16.1,23.3,5.35
Praya,40,ID,1575855922,55,91.4,-8.71,116.27,3.36
Mount Pleasant,1,US,1575855622,82,62.6,33.16,-94.97,6.93
Constitucion,5,MX,1575855610,18,69.8,23.99,-104.67,3.36
Gornozavodsk,100,RU,1575855922,94,31.05,58.37,58.33,16.62
Gazanjyk,67,TM,1575855922,93,39.69,39.24,55.52,7.36
Tongzi,39,CN,1575855922,62,58.05,28.78,105.09,3.65
Husainabad,0,IN,1575855922,58,66.02,24.53,84.02,3.36
Otukpo,0,NG,1575855922,29,72.84,7.19,8.13,1.07
Ponazyrevo,94,RU,1575855922,85,33.15,58.36,46.31,10.56
Chenghai,36,CN,1575855608,71,53.6,23.46,116.77,4.47
Scarborough,39,GB,1575855922,87,42.8,54.28,-0.41,8.05
Karakol,0,KG,1575855922,33,24.04,42.49,78.39,4.94
Mikhaylovka,100,RU,1575855922,95,17.76,52.96,103.29,3.15
Brewster,1,US,1575855922,69,44.01,41.76,-70.08,12.75
Marabba,0,SD,1575855922,20,67.62,12.35,32.18,10.56
Chicama,92,PE,1575855608,83,69.8,-7.84,-79.15,8.05
Dolzhanskaya,21,RU,1575855923,85,39.25,46.63,37.8,4.32
Mayya,0,RU,1575855923,57,-41.8,61.74,130.28,6.71
Quatre Cocos,40,MU,1575855632,94,78.01,-20.21,57.76,3.36
Abong Mbang,0,CM,1575855923,53,64.02,3.98,13.18,1.61
Dori,53,BF,1575855630,12,70.83,14.03,-0.03,8.19
Kungurtug,100,RU,1575855923,90,12.15,50.6,97.53,6.55
Gijon,2,ES,1575855923,61,50,43.54,-5.66,9.17
Rio Gallegos,75,AR,1575855923,87,51.8,-51.62,-69.22,5.82
Muroto,75,JP,1575855623,62,53.6,33.37,134.14,6.93
Notse,32,TG,1575855923,82,76.53,6.95,1.17,4.12
Saint-Pierre,75,FR,1575855923,87,46.4,48.95,4.24,24.16
Bilibino,100,RU,1575855923,99,-25.62,68.06,166.44,4.09
Plettenberg Bay,100,ZA,1575855607,81,60.82,-34.05,23.37,8.25
Pandamatenga,100,BW,1575855923,90,67.53,-18.54,25.64,6.08
Aksu,90,KZ,1575855923,100,28.4,52.04,76.93,4.47
Darhan,100,MN,1575855923,85,10.67,49.49,105.92,1.79
Cacequi,100,BR,1575855923,43,74.3,-29.88,-54.83,10.22
Sechura,100,PE,1575855620,88,68.97,-5.56,-80.82,8.19
Paramonga,100,PE,1575855923,90,65.7,-10.68,-77.82,9.91
Qingquan,0,CN,1575855923,51,37.17,34.7,106,2.15
Lorengau,39,PG,1575855614,64,85.42,-2.02,147.27,6.71
Galesong,20,ID,1575855924,79,86,-5.32,119.37,5.82
Fazalpur,20,PK,1575855924,87,48.2,32.18,75.07,0.43
Fairbanks,40,US,1575855403,92,16,64.84,-147.72,2.44
Rudnogorsk,100,RU,1575855924,92,21.72,57.27,103.75,9.33
Puerto Escondido,5,MX,1575855924,69,82.4,15.86,-97.07,3.36
Skibbereen,75,IE,1575855618,70,46.4,51.55,-9.27,42.5
Rurrenabaque,100,BO,1575855924,89,74.5,-14.44,-67.53,0.34
Huilong,0,CN,1575855924,56,55.17,31.15,106.5,0.92
Kahului,20,US,1575855608,51,84.2,20.89,-156.47,10.29
Margate,100,AU,1575855633,29,81,-43.03,147.26,13.87
Jiayuguan,0,CN,1575855924,29,32.22,39.77,98.29,19.15
Trofors,100,NO,1575855924,96,32,65.54,13.39,12.75
Pontarlier,75,CH,1575855924,86,48,46.9,6.35,17.22
Santa Cruz Cabralia,90,BR,1575855924,88,73.4,-16.28,-39.02,4.7
Tilichiki,0,RU,1575855924,90,-12.06,60.47,166.1,10.85
Lasem,100,ID,1575855924,50,93.92,-6.99,112.52,1.54
Sao Sebastiao,25,BR,1575855632,90,74.03,-3.15,-58.36,2.37
Gawler,100,AU,1575855924,73,81,-34.6,138.75,17.22
Japura,75,ID,1575855924,63,86.95,-0.42,102.29,1.7
Barabai,64,ID,1575855924,61,87.82,-2.59,115.38,3.06
Sao Felix do Xingu,100,BR,1575855924,88,72.52,-6.64,-51.99,0.87
Gumdag,8,TM,1575855924,89,41.04,39.2,54.59,3.74
Coolum Beach,95,AU,1575855924,70,91.99,-26.53,153.09,1.99
Lingao,0,CN,1575855925,56,65.7,19.91,109.69,13.49
Marietta,90,US,1575855853,54,54,33.95,-84.55,12.75
Ostersund,100,SE,1575855901,92,26.01,63.18,14.64,3.36
Jaru,47,BR,1575855925,85,74.62,-10.43,-62.48,2.68
Ixtapa,5,MX,1575855825,83,78.8,20.71,-105.21,11.41
Victor Harbor,77,AU,1575855925,73,81,-35.55,138.62,17.22
Santo Antonio da Platina,100,BR,1575855925,66,68.79,-23.3,-50.08,5.91
Faya,20,SA,1575855630,93,55.4,18.39,42.45,2.35
Sorland,100,NO,1575855631,69,33.69,67.67,12.69,36.62
Riyadh,0,SA,1575855925,76,51.8,24.63,46.72,9.22
Yeppoon,0,AU,1575855925,40,87.8,-23.13,150.74,12.75
Aksarka,100,RU,1575855925,92,16.29,66.56,67.8,17.2
Yarmouth,40,CA,1575855925,69,37.99,43.84,-66.12,10.29
Volodarka,99,UA,1575855925,83,35.15,49.52,29.93,11.36
Wasilla,1,US,1575855925,74,37,61.58,-149.44,13.87
Pucara,75,BO,1575855627,72,66.2,-21.7,-64.2,6.98
Sheridan,1,US,1575855925,63,48.2,39.65,-105.03,5.82
Varnamo,100,SE,1575855925,93,41,57.19,14.04,16.11
Luganville,40,VU,1575855925,74,86,-15.51,167.18,5.82
Trairi,7,BR,1575855736,86,74.79,-3.28,-39.27,3.53
Itoman,40,JP,1575855615,64,69.8,26.12,127.67,17.22
Lubao,100,CD,1575855926,98,66.49,-5.39,25.75,3.02
Lucapa,93,AO,1575855926,98,63.55,-8.42,20.74,2.53
Dakar,93,SN,1575855926,77,69.8,14.69,-17.45,14.99
Los Aquijes,40,PE,1575855926,83,69.8,-14.1,-75.69,9.17
Karpathos,0,GR,1575855926,65,62.02,35.51,27.21,19.98
Alexandria,57,RO,1575855752,94,28.99,43.97,25.33,1.01
Broome,76,GB,1575855625,86,44.01,52.47,1.45,13.87
Seoul,90,KR,1575855463,64,39.2,37.57,126.98,3.36
Sonoita,40,US,1575855926,76,62.6,31.68,-110.66,12.75
Sovetskiy,21,RU,1575855621,93,29.79,56.76,48.47,13.76
